Mac adrees,Lat,Lon,Alt
00:02:6f:8e:64:67,32.10344907272257,35.209239736013785,708.5804377541641
00:02:6f:b8:c4:1a,32.10398682632534,35.20897218662043,702.3784600465826
00:0d:f0:3e:fa:ca,32.10608928,35.21106968,688.7624378
00:0e:f4:c1:50:14,32.1026346,35.20757686,692.0341048
00:11:6b:11:02:b7,32.10243136134581,35.209745133237575,691.2324346460551
00:11:6b:11:7d:c7,32.10485713188516,35.21021681592936,709.8314147917981
00:11:6b:11:7e:0c,32.10487689111306,35.21085266476272,693.1063547280278
00:11:6b:2a:90:3c,32.10492080361653,35.20973323988146,703.1072222732039
00:12:2a:39:2c:3c,32.10251814,35.20734901,698.9056862
00:1a:2f:7f:6b:70,32.105552759658785,35.21020599232243,689.360808959703
00:1a:dd:e3:06:e4,32.10252980407737,35.20731989055549,699.8860444902843
00:1a:dd:f4:ef:04,32.10596257203692,35.2105515372934,688.682501700329
00:1a:dd:f4:ef:c4,32.10614939,35.21138727,688.8993666
00:1a:dd:f4:ef:c5,32.10608928,35.21106968,688.7624378
00:1a:dd:f4:f5:c4,32.10547424507153,35.209785713230914,689.0514532640643
00:1a:dd:f4:f5:c5,32.105139546852534,35.2090711198415,689.2440822061451
00:1a:dd:f4:fc:64,32.10621149,35.21194839,689.2763253
00:1a:dd:f4:fc:65,32.10621149,35.21194839,689.2763253
00:1a:dd:f4:fc:84,32.10621149,35.21194839,689.2763253
00:1a:dd:f4:fc:85,32.10621149,35.21194839,689.2763253
00:1a:dd:f5:06:a4,32.10593532,35.21038077,688.6045855
00:1a:dd:f5:06:a5,32.10593532,35.21038077,688.6045855
00:1a:dd:f5:df:c4,32.10494483,35.2104469,717.6172124
00:1a:dd:f5:df:c5,32.104882103678335,35.21037360796379,704.0554242364997
00:1a:dd:f5:e2:e4,32.10468231954045,35.2099254346227,710.2256059438022
00:1a:dd:f5:e2:e5,32.104772225353976,35.210128214972045,702.7538803125015
00:1a:dd:f5:e9:24,32.10546046717562,35.21025745302324,689.4884991118435
00:1a:dd:f5:e9:25,32.105957707343514,35.21055454568366,688.6715462505874
00:1d:aa:81:d8:3c,32.10285315404422,35.20978332241179,703.7357989588476
00:21:04:4c:2a:a2,32.10252819,35.2073457,700.1622739
00:25:86:cc:00:f8,32.1036511338293,35.20818645055072,693.5284770476242
00:25:86:cc:07:b2,32.104100165,35.208427924999995,703.2732683999999
00:27:19:13:fc:a4,32.105200955111236,35.21181344661473,694.518761713327
00:27:19:e3:2d:fe,32.1025333,35.20726399,699.2877605
00:27:22:f3:a6:9a,32.10580184810194,35.21010479865622,688.5497027103219
00:27:22:f3:bb:2b,32.10405974208484,35.20942539198074,705.4863232337568
00:27:22:f3:bb:3a,32.10353355,35.20781292,690.579513
00:27:22:f3:bb:86,32.10375725064331,35.20784015875796,690.4441102858598
00:27:22:f3:e0:83,32.10473074,35.20808402,689.6319853
00:27:22:f3:e2:f3,32.105924523066314,35.21055874940191,688.6737904388694
00:8c:54:90:ce:d1,32.10251744,35.20733873,695.5775666
06:ae:db:3a:64:05,32.10245839,35.20743113,694.8881938
08:97:58:32:a6:3e,32.10572051,35.20975997,688.5550301
08:ed:b9:3d:8f:4b,32.1049281,35.21028241,722.9373547
10:0d:7f:7c:90:0a,32.1020859,35.20993739,692.0
10:be:f5:36:02:e2,32.10614939,35.21138727,688.8993666
10:be:f5:39:8f:f2,32.10251814,35.20734901,698.9056862
10:be:f5:3b:68:2c,32.10252819,35.2073457,700.1622739
10:be:f5:a7:b4:f4,32.10251814,35.20734901,698.9056862
14:ae:db:32:52:12,32.1025333,35.20726399,699.2877605
14:ae:db:3a:64:05,32.10252819,35.2073457,700.1622739
14:ae:db:43:88:35,32.10251582,35.20733918,697.9931738
14:ae:db:4f:50:75,32.10219395119086,35.21000358466558,700.9890867386623
14:ae:db:58:0d:6d,32.10258799,35.20759021,693.1085203
14:ae:db:cb:05:f5,32.10245839,35.20743113,694.8881938
14:ae:db:cf:86:f5,32.10314760878292,35.20814477323022,691.7941043278232
18:d6:c7:ad:25:1a,32.10494483,35.2104469,717.6172124
1c:b9:c4:12:7c:c8,32.10318312125033,35.208747552617076,698.13215315879
1c:b9:c4:12:7c:cc,32.10302114966438,35.20881390529063,691.992358226648
1c:b9:c4:12:90:b8,32.10297746880038,35.20879731653349,701.9387633019671
1c:b9:c4:12:90:bc,32.10318778731778,35.2089122909509,694.572824058573
1c:b9:c4:12:af:78,32.10334771384648,35.21000540346792,698.4657151087035
1c:b9:c4:12:af:7c,32.102975181876815,35.209679185730806,697.3000448783765
1c:b9:c4:14:2b:88,32.103342611885125,35.20995770538881,698.4074362151175
1c:b9:c4:14:2b:8c,32.10338816,35.20978021,713.0579803
1c:b9:c4:14:2b:c8,32.10502885271464,35.21109434120773,701.1902730002984
1c:b9:c4:14:2b:cc,32.10504392892759,35.21106960666896,702.0456994850214
1c:b9:c4:14:2b:d8,32.10239321546526,35.20935115197277,693.5101064782679
