Date,Time,ID,Lat,Lon,Alt,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
2017-10-27,16:12:01,PB2-690Y_S200032_161214,32.16857397,34.81328609,-9.0,,b4:ee:b4:36:d2:b0,0,-51,,b0:b2:8f:37:ba:c7,0,-62
2017-10-27,16:13:51,ONEPLUS A3003_28_171012,32.16876665,34.81320794,37.0,,a0:63:91:69:f6:af,0,-80,,74:da:38:50:77:f2,0,-81,,3c:1e:04:03:7f:17,0,-82,,6a:12:f5:f9:5e:71,0,-85,,c0:ac:54:f5:7b:a7,0,-86,,30:b5:c2:fe:aa:56,0,-87,,c0:4a:00:ba:e8:f6,0,-88,,c4:3d:c7:5a:79:1c,0,-89,,98:e7:f4:c6:4b:37,0,-94
2017-10-27,16:13:53,ONEPLUS A3003_28_171012,32.16876425,34.81321225,36.0,,6a:12:f5:f9:5e:71,0,-79
2017-10-27,16:14:37,PB2-690Y_S200032_161214,32.16866695,34.81322274,38.0,,3c:1e:04:03:7f:17,0,-81,,74:da:38:50:77:f2,0,-83,,c4:3d:c7:5a:79:1c,0,-87,,6a:12:f5:f9:5e:71,0,-90,,c0:ac:54:f5:7b:a7,0,-90,,a0:63:91:69:f6:af,0,-92,,30:b5:c2:fe:aa:56,0,-92,,98:e7:f4:c6:4b:37,0,-93,,48:db:50:34:c7:fb,0,-94
2017-10-27,16:14:52,PB2-690Y_S200032_161214,32.16868001,34.81321794,39.0,,98:e7:f4:c6:4b:37,0,-87,,f8:e9:03:13:74:ee,0,-96
2017-10-27,16:15:07,ONEPLUS A3003_28_171012,32.16870993,34.81323603,39.0,,3c:1e:04:03:7f:17,0,-77,,98:e7:f4:c6:4b:37,0,-83,,48:db:50:34:c7:fb,0,-88,,00:02:6f:eb:a0:f4,0,-91
2017-10-27,16:15:07,PB2-690Y_S200032_161214,32.16868528,34.81321713,40.0,,6a:12:f5:f9:5e:71,0,-85,,00:02:6f:eb:a0:f4,0,-92
2017-10-27,16:15:37,ONEPLUS A3003_28_171012,32.16881033,34.81237006,35.0,,fc:3f:db:7e:60:a6,0,-79,,14:cc:20:eb:cb:c6,0,-86,,fc:b4:e6:cf:d1:dd,0,-88,,16:ae:db:c1:ae:55,0,-91
2017-10-27,16:15:37,PB2-690Y_S200032_161214,32.16882634,34.81238415,40.0,,fc:3f:db:7e:60:a6,0,-81,,58:f3:9c:62:d2:60,0,-87,,14:cc:20:eb:cb:c6,0,-90,,fc:b4:e6:cf:d1:dd,0,-90,,7c:03:4c:ba:bf:55,0,-90,,b0:41:1d:28:79:04,0,-96
2017-10-27,16:15:52,ONEPLUS A3003_28_171012,32.16874461,34.8109685,26.0,,3c:1e:04:03:7f:17,0,-78,,fc:3f:db:7e:60:a6,0,-79,,c0:ac:54:f5:7b:a7,0,-85,,30:b5:c2:fe:aa:56,0,-85,,74:da:38:50:77:f2,0,-85,,c0:4a:00:ba:e8:f6,0,-86,,14:cc:20:eb:cb:c6,0,-86,,fc:b4:e6:cf:d1:dd,0,-88,,a0:63:91:69:f6:af,0,-91,,16:ae:db:c1:ae:55,0,-91
2017-10-27,16:15:52,PB2-690Y_S200032_161214,32.16874744,34.8109599,41.0,,fc:3f:db:7e:60:a6,0,-81,,6a:12:f5:f9:5e:71,0,-85,,3c:1e:04:03:7f:17,0,-86,,74:da:38:50:77:f2,0,-87,,30:b5:c2:fe:aa:56,0,-88,,c0:ac:54:f5:7b:a7,0,-89,,14:cc:20:eb:cb:c6,0,-90,,a0:63:91:69:f6:af,0,-92,,00:02:6f:eb:a0:f4,0,-92,,f8:e9:03:13:74:ee,0,-96
2017-10-27,16:16:07,ONEPLUS A3003_28_171012,32.16828882,34.81039765,26.0,,00:26:5a:77:8c:db,0,-83,,c8:60:00:b1:d4:50,0,-83,,18:d6:c7:fb:1c:0e,0,-84,,60:e3:27:bf:a1:a5,0,-84,,e4:6f:13:73:0a:c2,0,-86,,d8:fb:5e:f5:82:9a,0,-88
2017-10-27,16:16:07,PB2-690Y_S200032_161214,32.1682687,34.81030598,45.0,,60:e3:27:bf:a1:a5,0,-80,,18:d6:c7:fb:1c:0e,0,-83,,e4:6f:13:73:0a:c2,0,-87,,c8:60:00:b1:d4:50,0,-90,,00:26:5a:77:8c:db,0,-90,,e4:d5:3d:7d:d6:a2,0,-90,,5c:83:8f:33:bd:68,0,-91
2017-10-27,16:16:09,ONEPLUS A3003_28_171012,32.16808141,34.81029707,27.0,,90:ef:68:30:6b:69,0,-81,,0a:8d:db:6e:71:13,0,-83,,06:8d:db:6e:71:13,0,-88,,ec:08:6b:38:0d:dd,0,-89
