Mac adrees,Lat,Lon,Alt
00:11:6b:11:7e:0c,32.10486785,35.21134874,690.0
00:11:6b:2a:90:3c,32.10434852,35.20937982,690.0
00:1a:2f:7f:6b:70,32.105488195,35.210202197499996,689.613065
00:1a:dd:e3:06:e4,32.102530744999996,35.207304844999996,699.7250171999999
00:1a:dd:f4:ef:04,32.10593532,35.21038077,688.6045855
00:1a:dd:f4:f5:c4,32.10618195,35.21168764,689.1981252999999
00:1a:dd:f4:f5:c5,32.105406699999996,35.20952482666666,688.9847231
00:1a:dd:f4:fc:84,32.10621149,35.21194839,689.2763253
00:1d:aa:81:d8:3c,32.10259084,35.209944165,703.98657565
00:25:86:cc:00:f8,32.1039503,35.20848468,692.0514061333333
00:27:19:13:fc:a4,32.10457995,35.21153227,709.0014328
00:27:22:f3:bb:2b,32.103966660000005,35.209593185,712.1909331
00:27:22:f3:e2:f3,32.105806730000005,35.21011894,688.55258265
00:8c:54:90:ce:d1,32.10251744,35.20733873,695.5775666
06:ae:db:3a:64:05,32.10245839,35.20743113,694.8881938
14:ae:db:43:88:35,32.10251582,35.20733918,697.9931738
1c:b9:c4:12:90:b8,32.102969349999995,35.209263650000004,713.7823176
1c:b9:c4:12:90:bc,32.10327032,35.20977545,702.0
1c:b9:c4:12:af:78,32.10294016,35.20970331,702.0
1c:b9:c4:14:2b:88,32.10302692,35.20965794,700.0
1c:b9:c4:14:2b:c8,32.10493373,35.21123938,692.25
1c:b9:c4:14:2b:d8,32.102177575,35.2093349325,690.299331575
1c:b9:c4:14:2c:18,32.1024835,35.20882098,712.5622134
1c:b9:c4:14:2c:38,32.10306134,35.2098475525,695.8859712750001
1c:b9:c4:14:2c:3c,32.102759895,35.209864814999996,700.8298148000001
1c:b9:c4:14:2f:68,32.102765219999995,35.208745766666674,691.6342205333334
1c:b9:c4:14:30:38,32.10285414,35.20973329,702.0
1c:b9:c4:14:30:3c,32.10302664,35.209670603333336,703.8807532666666
1c:b9:c4:14:36:fc,32.10427779,35.21135862,709.9316874000001
1c:b9:c4:15:1c:b8,32.102958307499996,35.2098110625,700.5
1c:b9:c4:15:1e:68,32.10235966,35.2100967,691.0
1c:b9:c4:15:25:48,32.1048894725,35.210702575,708.980713475
1c:b9:c4:15:3a:2c,32.10533815,35.21187488,692.0554072
1c:b9:c4:15:3a:38,32.10205485,35.20946963,706.2020219
1c:b9:c4:15:3a:3c,32.1020499,35.209817,691.9252951
1c:b9:c4:15:3d:58,32.10239972,35.209656052499994,697.939019575
1c:b9:c4:15:3d:6c,32.102646,35.209928,699.0
1c:b9:c4:15:42:68,32.1049466,35.21138606,710.9988846
1c:b9:c4:15:44:58,32.104864522499994,35.210550335,701.7075017749999
1c:b9:c4:15:44:5c,32.10499249,35.21062554666667,719.8405008333333
1c:b9:c4:15:44:88,32.104616195000006,35.211437947499995,693.4111673500001
1c:b9:c4:15:44:8c,32.10443188,35.21140418,698.2791206000002
1c:b9:c4:15:ec:38,32.102985575,35.20968911,698.6421000500001
1c:b9:c4:15:ed:48,32.104695235,35.211260625,690.115662425
1c:b9:c4:15:ed:b8,32.103324764999996,35.20976331,702.0
